transaction_id,customer_id,age,gender,credit_score,account_balance,account_age_days,transaction_amount,transaction_type,merchant_category,hour_of_day,day_of_week,num_transactions_24h,distance_from_home_km,is_foreign_transaction,pin_attempts,velocity_score,days_since_last_transaction,is_fraud
TXN0000025,CUST80340,34,Female,572,4095.41,3183,5.77,Transfer,Retail,10,6,5,9.32,0,1,86.14,0.6,0
TXN0000026,CUST67947,43,Female,484,395200.43,1733,11.69,Withdrawal,Food & Dining,7,3,4,49.34,0,1,11.39,1.0,0
TXN0000027,CUST46216,25,Female,609,45313.31,367,385.26,Transfer,Travel,14,4,6,69.55,0,2,58.21,0.1,0
TXN0000028,CUST84047,47,Male,811,30910.25,3365,142.28,Debit,Online Services,17,1,2,1.79,0,1,6.98,1.2,0
TXN0000029,CUST59088,33,Female,671,12772.21,4356,821.31,Credit,Food & Dining,14,0,3,21.77,1,1,25.84,1.3,0
TXN0000030,CUST49906,37,Male,813,1415.55,4904,25.0,Credit,Food & Dining,10,6,6,210.83,1,1,96.72,2.7,0
TXN0000031,CUST50540,33,Male,684,7868.85,3328,97.25,Withdrawal,Food & Dining,19,0,5,6.69,0,1,86.94,3.7,0
TXN0000032,CUST30451,67,Female,582,14044.47,757,66.56,Withdrawal,Online Services,15,1,2,41.54,0,1,5.08,0.5,0
TXN0000033,CUST18292,41,Male,802,7031.63,3601,442.85,Withdrawal,Food & Dining,18,6,3,7.03,0,1,78.72,0.7,0
TXN0000034,CUST59912,27,Male,687,5828.71,3050,3679.27,Credit,Retail,13,1,4,29.61,0,1,14.48,4.5,0
TXN0000035,CUST89909,53,Male,768,2403.28,4988,32.7,Transfer,Online Services,8,2,6,133.1,1,1,44.49,2.8,0
TXN0000036,CUST15743,24,Female,549,8040.33,2967,2.3,Debit,Retail,17,2,3,76.32,0,2,74.46,0.9,0
TXN0000037,CUST87245,44,Male,777,1908.31,4053,216.39,Online Purchase,Gambling,11,6,2,153.38,0,1,51.74,3.0,0
TXN0000038,CUST84485,18,Female,780,17433.72,2043,189.74,Debit,Retail,21,1,3,6.26,0,1,70.29,0.8,0
TXN0000039,CUST34908,23,Male,696,130.53,4026,3.42,Withdrawal,Food & Dining,14,4,0,24.07,0,2,12.56,0.5,0
TXN0000040,CUST66849,44,Female,577,56711.85,1863,15.24,Debit,Food & Dining,9,3,5,35.9,0,1,62.38,3.2,0
TXN0000041,CUST24870,52,Male,660,463.59,4128,40.81,Debit,Healthcare,22,1,3,15.78,0,1,45.94,4.1,0
TXN0000042,CUST78227,44,Female,731,719.78,1529,705.97,Withdrawal,Retail,23,0,3,44.68,0,1,24.73,1.9,0
TXN0000043,CUST73046,40,Male,690,10259.28,3431,14.08,Withdrawal,Online Services,18,2,4,31.08,0,1,89.6,0.1,0
TXN0000044,CUST41906,37,Other,729,12989.48,3967,55.57,Debit,Healthcare,9,2,1,6.74,0,1,27.0,2.9,0
TXN0000045,CUST16112,21,Female,774,207088.26,937,2.6,Transfer,Retail,17,6,0,9.37,0,1,18.09,0.2,0
TXN0000046,CUST97361,31,Female,594,8377.56,2257,216.37,Debit,Retail,14,0,4,41.01,1,1,58.4,10.8,0
TXN0000047,CUST50111,35,Female,540,4569.6,4250,9.62,Online Purchase,Utilities,14,4,2,10.66,0,1,30.61,1.1,0
TXN0000048,CUST90380,56,Male,660,6935.02,2074,4501.1,Transfer,Travel,17,5,2,57.1,0,1,51.25,1.4,1
TXN0000049,CUST71012,46,Female,629,86066.71,2723,19.48,Debit,ATM,1,1,4,4.64,0,1,19.4,6.2,0
TXN0000050,CUST80053,18,Female,749,386126.37,2040,497.25,Debit,Online Services,9,6,5,12.28,0,1,82.69,1.6,0
TXN0000051,CUST78390,46,Female,548,3524.03,3948,236.27,Debit,Food & Dining,6,4,4,65.71,0,1,81.28,1.2,0
TXN0000052,CUST27517,36,Female,775,13055.83,2279,18.93,Debit,Retail,12,4,5,15.86,0,1,14.19,0.5,0
TXN0000053,CUST42751,32,Female,811,4298.84,693,663.86,Transfer,Online Services,9,1,4,68.86,0,1,29.36,2.2,0
TXN0000054,CUST52004,50,Other,665,4147.75,357,2.36,Debit,Travel,19,4,5,44.17,0,1,6.18,2.4,0
TXN0000055,CUST54800,56,Male,671,144681.65,878,85.99,Credit,Travel,22,0,4,82.87,0,1,78.11,1.1,0
TXN0000056,CUST13942,55,Female,582,928.6,4714,320.77,Debit,Travel,12,6,2,27.7,0,1,71.0,0.7,0
TXN0000057,CUST59190,30,Female,606,73.57,294,58.31,Transfer,Retail,21,5,3,83.65,0,1,32.02,7.4,0
TXN0000058,CUST23885,37,Female,620,8702.8,1496,11.48,Transfer,Retail,19,5,3,75.55,0,2,12.41,4.0,0
TXN0000059,CUST76903,46,Male,820,42693.92,283,1546.12,Transfer,Food & Dining,4,6,0,71.81,0,1,89.7,0.7,0
TXN0000060,CUST71473,55,Female,657,7301.35,1123,71.56,Online Purchase,Food & Dining,10,1,6,113.91,0,1,69.75,0.1,1
TXN0000061,CUST93026,35,Female,522,12136.42,4090,33.14,Credit,Online Services,7,6,7,27.21,0,1,87.9,1.0,0
TXN0000062,CUST77027,39,Male,692,19040.21,3443,12.31,Debit,Food & Dining,5,2,0,1.91,0,1,46.16,5.9,0
TXN0000063,CUST42997,26,Female,754,6000.75,1266,106.93,Online Purchase,Food & Dining,2,1,5,62.78,0,1,92.21,1.8,0
TXN0000064,CUST97074,25,Male,662,13377.82,1838,61.33,Debit,Travel,9,5,4,2.19,0,1,80.06,0.7,0
TXN0000065,CUST46976,53,Other,823,12981.77,639,53.43,Withdrawal,Travel,7,2,4,63.42,1,1,62.14,0.8,0
TXN0000066,CUST39323,60,Male,748,144.68,2039,1758.19,Debit,Food & Dining,22,3,0,6.28,0,2,78.7,1.1,0
TXN0000067,CUST91497,40,Male,551,6032.76,2063,1701.65,Transfer,Travel,19,1,2,37.23,0,1,68.83,3.3,0
TXN0000068,CUST43341,56,Male,605,289.74,3224,141.21,Credit,Gambling,17,2,4,10.11,0,1,29.28,1.0,0
TXN0000069,CUST16870,47,Female,689,4588.42,579,310.28,Withdrawal,Retail,1,4,3,61.08,0,1,76.82,2.5,0
TXN0000070,CUST52259,32,Male,485,2015.24,1248,6.17,Withdrawal,Retail,17,3,6,46.82,0,3,45.48,0.2,0
TXN0000071,CUST81610,47,Female,701,31609.73,2347,106.09,Debit,ATM,1,1,4,30.35,0,1,53.34,3.1,0
TXN0000072,CUST27052,63,Female,474,7630.76,1543,145.84,Transfer,Gambling,12,2,5,8.21,0,1,21.72,0.4,0
TXN0000073,CUST51664,41,Female,775,11518.93,4903,60.9,Debit,Food & Dining,23,6,2,33.96,0,1,96.13,0.2,0
TXN0000074,CUST21692,63,Male,762,3482.09,4324,41.02,Debit,Travel,13,4,6,18.35,0,1,36.2,0.9,0
TXN0000075,CUST71782,18,Other,719,32660.65,2219,21.74,Debit,Online Services,20,2,2,58.76,0,1,95.14,2.5,0
TXN0000076,CUST52812,53,Female,592,277.22,1294,95.93,Debit,Retail,12,6,3,67.92,0,1,29.93,1.9,1
TXN0000077,CUST39717,43,Male,683,980.53,3227,706.98,Withdrawal,Utilities,14,1,3,4.9,0,1,41.19,1.5,0
TXN0000078,CUST30421,37,Male,609,49779.22,1319,953.19,Online Purchase,Online Services,11,0,4,15.85,0,1,50.12,2.6,0
TXN0000079,CUST60804,43,Male,553,2243.59,384,90.01,Transfer,Food & Dining,11,6,5,78.14,0,1,3.06,1.3,0
TXN0000080,CUST70282,18,Female,628,103.29,2894,613.41,Withdrawal,Utilities,11,0,5,72.37,1,1,33.5,0.2,0
TXN0000081,CUST94626,38,Male,740,67154.71,4059,16.79,Withdrawal,Retail,22,1,3,73.25,0,1,68.78,3.6,0
TXN0000082,CUST49343,46,Male,669,34148.88,2253,248.3,Online Purchase,Online Services,11,4,3,20.4,1,1,85.56,1.3,0
TXN0000083,CUST24461,62,Female,821,17672.14,4512,73.5,Debit,Travel,22,3,2,1.81,0,1,99.39,3.9,0
TXN0000084,CUST84940,34,Female,747,5825.1,3148,26.38,Transfer,Online Services,17,2,2,136.29,0,1,8.09,0.4,0
TXN0000085,CUST66678,30,Female,736,97669.5,2870,4362.44,Debit,Food & Dining,23,6,4,10.41,0,1,99.99,0.2,0
TXN0000086,CUST73023,34,Female,491,47359.05,3748,38.42,Transfer,Retail,14,4,2,15.56,0,1,44.63,2.9,1
TXN0000087,CUST18750,54,Male,634,79709.25,1898,46.66,Debit,Retail,5,2,2,14.28,0,1,26.53,5.1,0
TXN0000088,CUST38112,46,Female,550,17186.87,4758,39.35,Debit,Food & Dining,7,0,3,73.34,0,1,71.81,0.7,0
TXN0000089,CUST79105,34,Male,645,6130.51,196,167.78,Debit,Utilities,12,3,3,4.19,0,2,1.98,5.1,0
TXN0000090,CUST84902,49,Female,590,2395.87,3656,1019.83,Online Purchase,Retail,2,1,2,17.31,0,1,81.48,5.5,0
TXN0000091,CUST49169,43,Female,624,500.66,4922,11.34,Debit,Retail,18,1,4,71.53,0,1,79.86,1.5,0
TXN0000092,CUST82427,55,Male,779,12132.97,1156,212.35,Transfer,Retail,18,0,1,114.48,0,1,81.69,5.0,0
TXN0000093,CUST85751,32,Other,716,14095.96,115,168.36,Online Purchase,Gambling,13,1,4,13.22,0,1,28.15,5.1,0
TXN0000094,CUST44872,37,Female,773,2618.6,3807,4.96,Credit,Food & Dining,21,3,3,3.9,0,1,81.6,1.9,0
TXN0000095,CUST90826,36,Male,492,14833.24,3827,1023.83,Withdrawal,Retail,8,6,4,31.75,0,3,4.77,5.3,0
TXN0000096,CUST35949,21,Female,671,2702.9,3602,146.11,Credit,Retail,1,3,5,29.75,0,1,25.57,0.1,1
TXN0000097,CUST31559,46,Female,769,23420.57,2744,330.71,Transfer,Online Services,9,6,3,22.97,1,1,59.18,1.9,0
TXN0000098,CUST71423,45,Female,827,1004.46,2080,2.15,Online Purchase,Food & Dining,18,1,3,164.19,0,2,59.95,0.2,0
TXN0000099,CUST67307,42,Female,497,735.68,2901,1256.18,Debit,ATM,13,4,2,8.7,1,1,96.42,1.1,0
TXN0000100,CUST22577,38,Female,627,3187.39,2956,3669.2,Debit,Food & Dining,7,1,5,153.41,0,1,97.86,8.7,0
TXN0000101,CUST84945,22,Male,776,21846.89,1077,68.68,Debit,Online Services,18,3,3,7.73,0,1,41.22,6.7,0
TXN0000102,CUST27991,36,Male,644,610.44,1873,24.48,Transfer,Online Services,11,0,4,8.53,0,1,13.75,0.8,0
TXN0000103,CUST82440,37,Male,566,32514.34,3043,1.1,Withdrawal,Utilities,3,5,2,22.02,0,3,43.28,2.9,0
TXN0000104,CUST10662,30,Male,497,255.53,1271,8.71,Online Purchase,ATM,19,1,1,110.61,0,1,1.97,0.4,0
TXN0000105,CUST81715,39,Female,562,3152.2,4621,405.92,Debit,Online Services,5,4,3,13.1,0,1,32.64,0.0,0
TXN0000106,CUST80822,47,Male,482,386.24,2760,84.89,Debit,Food & Dining,13,1,5,82.47,0,1,22.33,2.7,0
TXN0000107,CUST80232,68,Male,671,44.8,2939,5.87,Debit,Healthcare,6,2,6,18.45,0,1,82.84,0.9,0
TXN0000108,CUST69835,44,Male,761,9505.38,619,1401.92,Online Purchase,Retail,1,6,3,112.76,0,1,91.33,0.9,0
TXN0000109,CUST52440,45,Female,528,3568.64,4034,26.99,Credit,Online Services,6,6,5,0.6,0,2,83.07,2.4,0
TXN0000110,CUST73464,40,Female,692,397.51,3203,6.28,Debit,Retail,3,5,7,62.62,0,3,73.75,0.3,0
TXN0000111,CUST34940,18,Male,756,1939.32,59,97.59,Withdrawal,Gambling,22,1,6,15.3,0,1,56.18,3.7,0
TXN0000112,CUST80264,41,Female,664,10886.57,3884,225.51,Debit,Online Services,18,3,0,30.9,0,1,74.68,1.8,0
TXN0000113,CUST60007,42,Male,491,2533.43,753,8.08,Credit,Retail,10,5,2,33.72,0,1,28.48,1.0,0
TXN0000114,CUST51301,76,Female,706,3437.07,4278,52.44,Debit,Food & Dining,11,1,3,88.65,0,1,58.97,0.9,0
TXN0000115,CUST55504,39,Male,659,2398.93,4803,1435.59,Online Purchase,Gambling,16,1,2,36.34,0,1,85.79,0.4,0
TXN0000116,CUST61186,46,Female,648,1723.06,2120,7.86,Debit,Gambling,10,0,3,38.68,0,1,60.55,2.4,0
TXN0000117,CUST13353,41,Female,605,1683.1,1605,169.26,Debit,Online Services,8,2,4,41.85,0,1,15.31,6.7,1
TXN0000118,CUST22581,25,Female,674,1596.46,2520,50.88,Transfer,Retail,22,0,5,1.26,0,1,24.1,0.4,0
TXN0000119,CUST32093,57,Male,720,1266.92,2228,236.43,Debit,Travel,17,3,5,6.36,0,1,51.65,0.7,0
TXN0000120,CUST20307,52,Female,850,787.51,3591,13.66,Transfer,Utilities,20,6,6,30.14,1,3,53.82,0.8,0
TXN0000121,CUST49564,53,Female,677,2481.25,4075,137.11,Credit,Utilities,19,4,10,48.72,0,1,44.29,0.7,0
TXN0000122,CUST70155,29,Female,828,1553.29,1156,16.18,Debit,Retail,22,0,3,10.08,0,1,82.12,1.3,0
TXN0000123,CUST68897,61,Male,703,714.04,3994,2.46,Transfer,ATM,17,6,6,1.4,0,1,11.64,1.3,0
TXN0000124,CUST52398,22,Male,654,19512.81,3951,7.11,Online Purchase,Travel,7,5,6,42.4,0,1,46.42,1.2,0
TXN0000125,CUST86956,50,Female,681,45195.14,1606,60.81,Withdrawal,Online Services,22,6,6,7.46,0,1,11.23,1.7,0
TXN0000126,CUST60870,72,Male,533,4913.86,3309,137.13,Online Purchase,Retail,10,3,5,0.33,0,1,27.12,2.5,0
TXN0000127,CUST17127,28,Male,698,5539.45,1447,795.75,Online Purchase,Online Services,18,2,6,4.4,0,1,48.19,8.4,0
TXN0000128,CUST78849,34,Male,449,1412.88,4233,171.52,Withdrawal,Retail,21,1,2,2.89,0,1,13.88,1.2,0
TXN0000129,CUST61713,43,Female,571,33545.45,3435,1488.6,Credit,Gambling,8,0,4,91.95,0,1,8.77,2.5,0
TXN0000130,CUST67124,34,Male,676,112277.19,1561,62.68,Withdrawal,Online Services,16,1,3,17.01,0,1,8.51,2.5,0
TXN0000131,CUST60883,20,Female,793,3659.83,4758,243.04,Credit,Online Services,16,2,4,46.99,0,1,64.2,0.8,0
TXN0000132,CUST59821,42,Male,819,1922.53,1863,15.38,Credit,Retail,16,4,0,27.94,0,1,9.68,1.9,0
TXN0000133,CUST18150,27,Male,639,9087.5,4722,158.53,Withdrawal,Food & Dining,16,1,7,30.33,0,1,96.25,0.9,0
TXN0000134,CUST60328,48,Male,681,6198.58,4551,45.97,Debit,Online Services,11,5,4,17.38,0,1,32.95,7.7,0
TXN0000135,CUST81541,29,Male,771,1997.64,3679,37.76,Debit,Online Services,1,4,1,27.17,0,1,48.64,0.8,0
TXN0000136,CUST37355,63,Female,521,11477.6,3683,102.27,Online Purchase,Food & Dining,2,2,3,11.85,0,3,94.01,0.0,0
TXN0000137,CUST64254,31,Female,708,26600.46,784,7.01,Transfer,Retail,10,2,5,77.67,0,1,89.33,1.1,0
TXN0000138,CUST12773,37,Female,575,1194.55,3831,163.37,Debit,Travel,19,4,5,21.81,0,1,13.45,0.8,0
TXN0000139,CUST41274,53,Male,646,477185.78,3480,319.99,Debit,Online Services,3,0,3,33.95,0,1,2.42,2.6,0
TXN0000140,CUST49304,24,Female,615,311.28,2561,25.35,Transfer,Utilities,2,2,3,29.46,0,1,75.92,1.0,0
TXN0000141,CUST98445,45,Female,712,1060.99,4204,125.11,Withdrawal,Online Services,7,2,7,125.56,0,2,10.06,1.1,0
TXN0000142,CUST29312,60,Female,724,7488.64,1295,854.29,Withdrawal,ATM,19,4,3,17.9,0,1,82.62,3.0,0
TXN0000143,CUST34889,19,Female,761,280511.95,305,350.06,Credit,Retail,3,1,3,26.8,0,1,1.71,9.4,0
TXN0000144,CUST46767,44,Male,702,1785.29,2071,70.81,Debit,ATM,3,4,2,17.33,0,1,70.14,0.8,0
TXN0000145,CUST99338,45,Female,683,721.73,3942,183.66,Withdrawal,Gambling,10,3,2,80.9,0,1,14.75,0.1,1
TXN0000146,CUST86805,52,Male,850,13208.75,207,1321.81,Online Purchase,Travel,18,1,2,6.81,0,3,13.66,3.3,0
TXN0000147,CUST13122,24,Male,500,3141.73,700,142.09,Credit,Retail,19,1,4,21.4,0,1,85.95,0.7,0
TXN0000148,CUST31054,23,Female,848,16276.22,841,495.01,Debit,Retail,4,2,3,69.87,0,1,1.72,0.7,0
TXN0000149,CUST83949,49,Female,633,4326.85,3077,377.04,Transfer,Travel,17,6,3,71.3,0,1,43.4,2.1,0
TXN0000150,CUST15247,46,Female,726,1050.58,1596,106.79,Debit,ATM,21,1,3,150.5,0,1,13.3,1.3,0
TXN0000151,CUST87009,45,Male,629,337046.69,3065,918.09,Transfer,Retail,22,0,7,186.49,1,1,68.33,3.1,0
TXN0000152,CUST35324,46,Male,589,24.1,360,14.57,Debit,Retail,17,0,1,21.67,0,2,78.17,0.2,0
TXN0000153,CUST92587,32,Male,717,130148.29,3585,194.44,Transfer,Utilities,9,0,4,24.91,0,1,12.13,12.8,0
TXN0000154,CUST36423,45,Female,777,26367.08,3617,33.28,Transfer,Retail,23,3,1,30.28,0,1,96.81,0.5,1
TXN0000155,CUST49088,46,Male,716,1284.26,1935,448.57,Credit,Travel,19,2,5,33.27,0,1,75.48,2.6,0
TXN0000156,CUST69571,31,Female,606,142965.15,203,87.21,Withdrawal,Travel,3,5,9,52.44,0,1,83.2,3.0,0
TXN0000157,CUST21365,68,Male,850,416.32,1875,502.08,Credit,Online Services,22,5,1,2.87,0,1,53.15,0.2,0
TXN0000158,CUST60132,48,Female,794,30169.89,121,357.07,Debit,Retail,9,4,3,72.08,0,1,85.69,0.4,0
TXN0000159,CUST55450,25,Female,765,115.73,2587,42.24,Credit,Travel,14,3,1,31.21,0,1,42.25,2.8,0
TXN0000160,CUST80550,51,Male,626,624.79,2678,236.81,Online Purchase,Retail,6,3,0,45.04,0,1,12.28,5.0,0
TXN0000161,CUST99648,28,Male,597,622.01,628,205.09,Online Purchase,Retail,20,0,2,8.18,0,1,40.16,2.2,0
TXN0000162,CUST69787,53,Female,634,1272.6,4539,62.31,Credit,Retail,1,1,3,36.15,0,1,24.31,0.8,0
TXN0000163,CUST46826,58,Female,781,5018.3,2214,428.43,Debit,Food & Dining,11,4,3,109.94,0,1,5.35,2.0,0
TXN0000164,CUST46574,30,Female,558,1111.25,2755,73.88,Transfer,Retail,15,2,4,69.85,1,1,40.58,0.2,0
TXN0000165,CUST47615,55,Female,549,125.77,4214,22.14,Transfer,Retail,14,1,3,90.57,0,1,20.26,2.1,0
TXN0000166,CUST83261,47,Male,723,11318.7,1096,150.74,Online Purchase,Food & Dining,11,6,5,83.12,0,1,28.55,1.6,0
TXN0000167,CUST38909,53,Female,699,5367.47,373,204.27,Transfer,Retail,9,6,6,22.81,0,1,11.06,0.0,0
TXN0000168,CUST25027,68,Male,581,10260.63,2373,0.42,Withdrawal,Online Services,17,6,3,38.74,0,1,73.39,4.0,0
TXN0000169,CUST40085,38,Female,547,6697.25,4466,6739.7,Transfer,Retail,5,1,1,117.73,0,1,0.61,2.1,0
TXN0000170,CUST12044,31,Male,820,27381.52,2708,14691.31,Debit,Online Services,13,3,2,12.39,0,1,41.27,0.0,0
TXN0000171,CUST19552,29,Female,703,4290.39,1371,20.03,Online Purchase,ATM,4,3,2,42.23,0,1,66.3,1.3,0
TXN0000172,CUST18104,30,Male,517,30410.32,64,272.66,Debit,Online Services,11,0,6,11.73,0,1,44.32,3.5,0
TXN0000173,CUST79438,40,Male,525,1216.52,4296,13.16,Credit,Online Services,14,6,3,42.53,0,1,38.52,2.6,0
TXN0000174,CUST75011,46,Male,625,1348.02,3624,4.52,Withdrawal,Gambling,8,2,3,135.72,0,1,34.1,0.6,1
TXN0000175,CUST72708,45,Female,744,58505.2,4511,39.42,Online Purchase,Food & Dining,20,2,3,197.82,0,1,80.49,0.6,0
TXN0000176,CUST51568,53,Female,729,56398.82,4460,7.43,Credit,Food & Dining,12,3,4,102.11,0,1,25.35,1.0,0
TXN0000177,CUST74534,42,Female,787,13804.31,4204,235.44,Credit,Travel,1,6,5,130.66,0,1,5.99,0.5,0
TXN0000178,CUST24514,62,Male,504,991.88,4618,438.17,Transfer,Retail,16,3,1,55.23,0,1,16.37,2.3,0
TXN0000179,CUST91055,38,Female,689,858.05,4280,2141.02,Transfer,Food & Dining,5,0,5,6.42,0,1,88.0,3.9,0
TXN0000180,CUST55093,80,Female,818,53664.94,3886,98.03,Withdrawal,Retail,18,1,1,143.35,0,1,83.72,2.5,0
TXN0000181,CUST94423,50,Male,808,48571.73,2143,425.69,Withdrawal,Online Services,21,4,2,14.25,0,1,47.92,0.6,0
TXN0000182,CUST23707,29,Male,703,4383.3,1797,181.62,Online Purchase,Online Services,8,6,4,3.64,0,1,24.89,2.0,0
TXN0000183,CUST54759,27,Female,850,332831.91,1418,151.16,Withdrawal,Travel,5,0,3,0.97,0,1,7.39,3.5,0
TXN0000184,CUST72668,48,Male,730,11226.36,229,14.92,Debit,Food & Dining,22,2,2,124.52,0,1,39.14,2.2,0
TXN0000185,CUST54605,38,Male,777,669.84,541,58.48,Credit,Online Services,10,2,4,9.98,0,1,60.67,0.8,0
TXN0000186,CUST50153,51,Female,669,2992.5,2762,46.47,Transfer,Retail,12,1,2,4.25,0,1,89.19,1.6,0
TXN0000187,CUST24959,48,Male,580,4963.4,2772,260.6,Transfer,Retail,16,1,2,34.2,0,1,99.02,1.4,0
TXN0000188,CUST44291,40,Female,570,5741.74,1093,2.03,Debit,Online Services,5,6,6,0.22,0,1,12.38,4.0,0
TXN0000189,CUST31488,30,Female,684,46630.3,2801,597.95,Credit,Travel,21,5,1,5.03,0,1,67.62,0.1,0
TXN0000190,CUST37135,20,Female,642,878.91,2909,55.75,Debit,Online Services,15,6,3,3.02,0,1,3.38,1.3,0
TXN0000191,CUST71532,35,Female,473,447.32,3500,27.13,Transfer,Retail,11,4,1,51.72,0,1,9.69,0.9,0
TXN0000192,CUST66724,53,Male,554,14533.08,2503,167.49,Debit,Retail,16,2,1,3.53,0,1,58.77,3.1,1
TXN0000193,CUST64647,44,Female,630,1973.23,2198,86.31,Transfer,Food & Dining,1,3,3,29.5,0,1,82.75,3.1,0
TXN0000194,CUST42562,24,Male,743,385505.61,2493,119.79,Credit,Food & Dining,14,3,3,3.95,0,1,47.77,3.3,0
TXN0000195,CUST96371,44,Female,663,26843.98,4411,948.81,Credit,Online Services,21,0,0,74.26,0,3,60.46,2.3,0
TXN0000196,CUST17888,47,Other,657,1908.91,3039,3.59,Transfer,Retail,2,6,4,22.46,0,1,17.67,2.0,0
TXN0000197,CUST40832,29,Female,558,43614.14,434,7.37,Credit,Utilities,18,3,1,0.32,0,1,71.4,1.7,0
TXN0000198,CUST20620,44,Female,667,18301.52,4613,33.22,Credit,Retail,1,5,3,121.78,0,1,46.3,1.6,0
TXN0000199,CUST40504,42,Male,807,15377.41,1153,1114.9,Transfer,Food & Dining,11,4,2,62.3,0,1,12.15,0.1,0
TXN0000200,CUST96569,25,Male,681,3944.04,2822,373.58,Debit,Online Services,19,4,3,84.15,1,2,54.0,1.0,0
TXN0000201,CUST42963,47,Female,502,10475.68,1055,72.07,Credit,Online Services,12,5,7,33.36,0,1,38.64,2.5,0
TXN0000202,CUST91771,49,Male,529,111.57,1562,267.61,Debit,Travel,0,2,4,188.81,0,1,91.41,0.5,0
TXN0000203,CUST54555,57,Female,728,52615.23,557,408.21,Debit,Retail,16,3,1,58.88,0,1,65.78,5.0,0
TXN0000204,CUST72972,56,Male,640,10.13,2810,228.72,Debit,ATM,7,1,3,10.07,0,1,15.83,0.1,0
TXN0000205,CUST51167,22,Female,656,2217.59,3364,633.63,Debit,Gambling,23,2,2,1.04,0,1,37.56,1.4,0
TXN0000206,CUST33928,28,Male,598,278.03,2476,123.44,Credit,Online Services,8,0,4,49.54,1,1,20.03,0.0,0
TXN0000207,CUST78779,49,Female,719,1995.14,276,217.51,Transfer,Food & Dining,23,1,2,17.86,0,1,93.22,0.7,0
TXN0000208,CUST97224,49,Female,632,4300.94,2018,219.79,Withdrawal,Retail,1,3,5,62.42,0,1,39.74,0.2,0
TXN0000209,CUST33716,49,Male,644,570.08,657,43.02,Transfer,Online Services,11,6,4,39.35,0,1,70.16,0.3,0
